approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2025-10-31T13:47:11+00:00	19770127751		114-3949900-5477058	CustomerReturn	PSA67B-Y	X002ETCW0H	B0829FNK2W	1/4 Carat Diamond Huggie Hoop Earrings for Women in 14k Yellow Gold (F-G, SI2-I1, cttw) with Hinge and Notched Post by Privosa Fine Jewelry	NewItem	USD	290.83	290.83	1	0	1		
2025-10-23T00:07:05+00:00	19663383051			Reimbursement_Reversal	Amazon.Found.B0829FNLM4	B0829FNLM4	B0829FNLM4	1/5 Carat Diamond Huggie Hoop Earrings for Women in 14k Yellow Gold (F-G, SI2-I1, cttw) with Hinge and Notched Post by Privosa Fine Jewelry	NewItem	USD	-175.84	-175.84	-1	1	0	16026130881	CustomerReturn
2025-10-22T23:46:34+00:00	19660732811			Reimbursement_Reversal	Amazon.Found.B07TKC4ZQP	B07TKC4ZQP	B07TKC4ZQP	1/5 Carat Diamond Huggie Hoop Earrings for Women in 14k White Gold (F-G, SI2-I1, cttw) with Hinge and Notched Post by Privosa Fine Jewelry	NewItem	USD	-167.66	-167.66	-1	1	0	15952485861	CustomerReturn
2025-10-18T23:16:13+00:00	19620519951		111-2291904-9899436	CustomerServiceIssue	PSA64B-W	X00285O8OF	B07TPMC2DQ	Privosa Fine Jewelry 1/4 Carat Diamond Cross Pendant Necklace for Women in 14k White Gold (F-G, SI2-I1, cttw) with 18 Inch Silver Chain and Lobster Claw	NewItem	USD	203.62	203.62	1	0	1		
2025-10-11T06:54:31+00:00	19534496931		114-4870650-0923418	CustomerReturn	PSA5HOOPLG-D-1W	X0041X3PTV	B0CNV8RJ98	1 Carat Lab Grown Diamond 5 Stone Hoop Earrings for Women I 14k White Gold Hoops (E-F, VS1, 1.00 cttw) Hinged Hoop Earrings by Privosa Fine Jewelry	NewItem	USD	42.80	42.80	1	0	1		
2025-10-11T04:54:41+00:00	19532673611		114-4870650-0923418	CustomerReturn	PSA5HOOPLG-D-1W	X0041X3PTV	B0CNV8RJ98	1 Carat Lab Grown Diamond 5 Stone Hoop Earrings for Women I 14k White Gold Hoops (E-F, VS1, 1.00 cttw) Hinged Hoop Earrings by Privosa Fine Jewelry	NewItem	USD	75.00	75.00	1	0	1		
2025-10-09T06:33:03+00:00	19511872771		114-5556881-4123453	CustomerReturn	B00191J-Y	X004MUDH5P	B099NYW9WC	Privosa Fine Jewelry 2 Carat Diamond Tennis Bracelet in 14k Yellow Gold (F-G, SI1-SI2, cttw) 7 Inches Long Bezel Set	NewItem	USD	1482.49	1482.49	1	0	1		
2025-09-23T07:24:16+00:00	19349136001			Lost_Warehouse	PSABRACELG-D-5Y	X004AVPHP9	B0CNV9CRM3	Privosa Fine Jewelry 5 Carat Lab Grown Diamond Tennis Bracelet for Women I 14k Yellow Gold Bracelet (E-F, VS1, 5.00 cttw) 7 Inches Long	NewItem	USD	1004.97	1004.97	1	0	1		
2025-09-22T08:20:36+00:00	19340327751			Lost_Warehouse	PSA67E-W-HI-I1	X00287H0CZ	B07TLFLF85	3/4 Carat Diamond Huggie Hoop Earrings for Women in 14k White Gold (F-G, SI2-I1, cttw) with Hinge and Notched Post by Privosa Fine Jewelry	NewItem	USD	348.29	348.29	1	0	1		
2025-09-17T15:53:34+00:00	19301361981		114-4196131-7717838	CustomerReturn	PSA65B-Y	X002ETCWAR	B0829FVZN2	Privosa Fine Jewelry 1/4 Carat Diamond Cross Pendant Necklace for Women in 14k Yellow Gold (F-G, SI2-I1, cttw) with 18 Inch Silver Chain and Lobster Claw	NewItem	USD	193.84	193.84	1	0	1		
2025-09-16T15:40:05+00:00	19289794841		114-1381432-2799440	CustomerReturn	PSA67C-Y	X002G9L6FH	B0829GF8CJ	1/3 Carat Diamond Huggie Hoop Earrings for Women in 14k Yellow Gold (F-G, SI2-I1, cttw) with Hinge and Notched Post by Privosa Fine Jewelry	NewItem	USD	395.59	395.59	1	0	1		
2025-09-08T21:26:05+00:00	19209094871			Damaged_Warehouse	PSASTUD3SLG-DW-33	X004G0UX7L	B0DKVMRPZ1	1/3 Carat Lab Grown Diamond Round Stud Earrings for Women I 14k White Gold Earrings (E-F, VS1, 0.33 cttw) 3-Prong Settings I Screw Back Studs by Privosa Fine Jewelry	NewItem	USD	118.26	118.26	1	0	1		
2025-09-08T00:30:03+00:00	19202674871		114-1381432-2799440	CustomerServiceIssue	PSA67C-Y	X002G9L6FH	B0829GF8CJ	1/3 Carat Diamond Huggie Hoop Earrings for Women in 14k Yellow Gold (F-G, SI2-I1, cttw) with Hinge and Notched Post by Privosa Fine Jewelry	NewItem	USD	395.59	395.59	1	0	1		
